Basis,Line,,Product group,Rate,Yield,Uptime
Additional Days,E28,0.74,Roll Sleeve,0.07164346630940482,0.04270676613366742,1.6617055555555549
Additional Days,E28,0.74,Shrink Sleeve,1.3882740302448653,1.5695067330223225,0.48176203703703663
Additional Days,E28,0.75,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.75,PSL,25.265151072767082,10.336574663930548,0.5029050925925926
Additional Days,E28,0.75,Roll Sleeve,0.07420258650230183,0.044313008968806245,1.7309432870370365
Additional Days,E28,0.75,Shrink Sleeve,1.4257090552307758,1.5695067330223225,0.6028182870370371
Additional Days,E28,0.76,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.76,PSL,26.640568187619238,10.85343703527522,0.5718032407407411
Additional Days,E28,0.76,Roll Sleeve,0.07673265459929418,0.04590679259609942,1.8001810185185179
Additional Days,E28,0.76,Shrink Sleeve,1.4630640238008183,1.5695067330223225,0.7238745370370377
Additional Days,E28,0.77,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.77,PSL,27.81689528415012,11.43374304902568,0.628876388888889
